2025-12-17 15:18:58 | INFO     | multiagent           | Logging initialized at level INFO
2025-12-17 15:18:58 | INFO     | multiagent           | Log files: D:\fun_model\storage\logs\app_20251217.log
2025-12-17 15:18:58 | INFO     | multiagent           | ============================================================
2025-12-17 15:18:58 | INFO     | multiagent           | Multi-Agent Corporate System Starting
2025-12-17 15:18:58 | INFO     | multiagent           | ============================================================
2025-12-17 15:18:58 | INFO     | multiagent           | Python version: 3.13.5 (tags/v3.13.5:6cb20a2, Jun 11 2025, 16:15:46) [MSC v.1943 64 bit (AMD64)]
2025-12-17 15:18:58 | INFO     | multiagent           | Project root: D:\fun_model
2025-12-17 15:18:58 | INFO     | multiagent           | Start time: 2025-12-17T09:48:58.552718+00:00
2025-12-17 15:18:58 | INFO     | multiagent.config    | Configuration validated successfully
2025-12-17 15:18:58 | INFO     | multiagent.config    | Environment: development
2025-12-17 15:18:58 | INFO     | multiagent.config    | Debug mode: True
2025-12-17 15:18:58 | INFO     | multiagent.startup   | Performing startup health checks...
2025-12-17 15:19:01 | INFO     | multiagent.startup   | [OK] Supabase connection successful
2025-12-17 15:19:02 | INFO     | multiagent.startup   | [OK] OpenRouter API key valid
2025-12-17 15:19:02 | INFO     | multiagent.startup   | [OK] Storage directory writable
2025-12-17 15:19:03 | INFO     | multiagent.startup   | [OK] SMTP server reachable
2025-12-17 15:19:03 | INFO     | multiagent.startup   | All startup checks passed
2025-12-17 15:19:04 | WARNING  | app                  | Initializing MockSupabaseAuth for DEV_MODE
2025-12-17 15:19:04 | INFO     | app.auth             | Mock Supabase auth client initialized (DEV MODE)
2025-12-17 15:19:04 | INFO     | app.auth             | Loaded mock DB from storage/mock_db.json
2025-12-17 15:19:04 | INFO     | orchestrator.llm_client | OpenRouter client initialized
2025-12-17 15:19:04 | INFO     | orchestrator.tools.notifier | SMTP notifier initialized
2025-12-17 15:19:04 | INFO     | orchestrator.config  | Loading config from: D:\fun_model\config
2025-12-17 15:19:05 | INFO     | orchestrator.config  | Loaded agents.yaml
2025-12-17 15:19:05 | INFO     | orchestrator.config  | Loaded openrouter.yaml
2025-12-17 15:19:05 | INFO     | orchestrator.orchestrator | Orchestrator initialized
2025-12-17 15:19:05 | INFO     | app                  | Flask application initialized successfully
2025-12-17 15:19:05 | INFO     | multiagent.app       | Flask application created successfully
2025-12-17 15:19:05 | INFO     | multiagent           | ------------------------------------------------------------
2025-12-17 15:19:05 | INFO     | multiagent           | Starting Flask server on http://0.0.0.0:5000
2025-12-17 15:19:05 | INFO     | multiagent           | Debug mode: True
